0   0   1
0.1   0.1   1.10517
0.2   0.2   1.2214
0.3   0.3   1.34986
0.4   0.4   1.49182
0.5   0.5   1.64872
0.6   0.6   1.82212
0.7   0.7   2.01375
0.8   0.8   2.22554
0.9   0.9   2.4596
1   1   2.71828
1.1   1.1   3.00417
1.2   1.2   3.32012
1.3   1.3   3.6693
1.4   1.4   4.0552
1.5   1.5   4.48169
1.6   1.6   4.95303
1.7   1.7   5.47395
1.8   1.8   6.04965
1.9   1.9   6.68589
2   2   7.38906
2.1   2.1   8.16617
2.2   2.2   9.02501
2.3   2.3   9.97418
2.4   2.4   11.0232
2.5   2.5   12.1825
2.6   2.6   13.4637
2.7   2.7   14.8797
2.8   2.8   16.4446
2.9   2.9   18.1741
3   3   20.0855
3.1   3.1   22.198
3.2   3.2   24.5325
3.3   3.3   27.1126
3.4   3.4   29.9641
3.5   3.5   33.1155
3.6   3.6   36.5982
3.7   3.7   40.4473
3.8   3.8   44.7012
3.9   3.9   49.4024
4   4   54.5982
4.1   4.1   60.3403
4.2   4.2   66.6863
4.3   4.3   73.6998
4.4   4.4   81.4509
4.5   4.5   90.0171
4.6   4.6   99.4843
4.7   4.7   109.947
4.8   4.8   121.51
4.9   4.9   134.29
5   5   148.413
5.1   5.1   164.022
5.2   5.2   181.272
5.3   5.3   200.337
5.4   5.4   221.406
5.5   5.5   244.692
5.6   5.6   270.426
5.7   5.7   298.867
5.8   5.8   330.3
5.9   5.9   365.037
6   6   403.429
6.1   6.1   445.858
6.2   6.2   492.749
6.3   6.3   544.572
6.4   6.4   601.845
6.5   6.5   665.142
6.6   6.6   735.095
6.7   6.7   812.406
6.8   6.8   897.847
6.9   6.9   992.275
7   7   1096.63
7.1   7.1   1211.97
7.2   7.2   1339.43
7.3   7.3   1480.3
7.4   7.4   1635.98
7.5   7.5   1808.04
7.6   7.6   1998.2
7.7   7.7   2208.35
7.8   7.8   2440.6
7.9   7.9   2697.28
8   8   2980.96
8.1   8.1   3294.47
8.2   8.2   3640.95
8.3   8.3   4023.87
8.4   8.4   4447.07
8.5   8.5   4914.77
8.6   8.6   5431.66
8.7   8.7   6002.91
8.8   8.8   6634.24
8.9   8.9   7331.97
9   9   8103.08
9.1   9.1   8955.29
9.2   9.2   9897.13
9.3   9.3   10938
9.4   9.4   12088.4
9.5   9.5   13359.7
9.6   9.6   14764.8
9.7   9.7   16317.6
9.8   9.8   18033.7
9.9   9.9   19930.4
